LIST_ID,CUE_ID,CUE
11,29,dish
11,30,spill
11,31,pen
11,32,clean (action)
11,33,pattycake
11,34,dress (object)
11,35,potty
12,1,moon
12,2,turkey (animal)
12,3,look
12,4,put
12,5,before
12,6,bump (verb)
12,7,potato chip
12,8,say
12,9,sauce
12,10,nurse (noun)
12,11,high chair
12,12,meat
12,13,try/try to
12,14,her
12,15,hate
12,16,cow
12,17,fireman
12,18,meow
12,19,diaper
12,20,cheerios
12,21,pajamas
12,22,knee
12,23,blanket
12,24,gentle
12,25,go potty
12,26,belt (noun)
12,27,tights
12,28,bath
12,29,at
12,30,grapes
12,31,toy
12,32,none
12,33,moose
12,34,arm
13,1,crayon
13,2,yogurt
13,3,could
13,4,dance
13,5,nuts (food)
13,6,much
13,7,climb
13,8,tricycle
13,9,mommy
13,10,deer
13,11,porch
13,12,owl
13,13,kitty
13,14,sneaker
13,15,hafta/have to
13,16,each
13,17,moo
13,18,doctor
13,19,helicopter
13,20,because
13,21,sleep
13,22,bad
13,23,slow
13,24,napkin
13,25,splash
13,26,night night
13,27,red
13,28,stroller
13,29,face
13,30,was
13,31,lips
13,32,train (noun)
13,33,lion
13,34,child
14,1,garden
14,2,for
14,3,when
14,4,zipper
14,5,inside/in
14,6,buy
14,7,peanut butter
14,8,store (place)
14,9,glue
14,10,boat
14,11,away
14,12,stand (verb)
14,13,naughty
14,14,penguin
14,15,wait
14,16,you
14,17,blue
14,18,stay
14,19,smile
14,20,sleepy
14,21,push
14,22,sandwich
14,23,not
14,24,vroom
14,25,them
14,26,orange (color)
14,27,playground
14,28,water (outside)
14,29,lunch
14,30,a
14,31,uncle
14,32,cracker
14,33,tissue/kleenex
14,34,wolf
15,1,will (verb)
15,2,hello
15,3,your
15,4,wake (verb)
15,5,drink (beverage)
15,6,have
15,7,street
15,8,him
15,9,bathtub
15,10,skate
15,11,pick
15,12,love
15,13,garage
15,14,trash (noun)
15,15,pet (noun)
15,16,why
15,17,necklace
15,18,school
15,19,dump (verb)
15,20,need/need to
15,21,sister
15,22,write
15,23,thirsty
15,24,snowman
15,25,jelly
15,26,throw
15,27,ankle
15,28,mouth
15,29,if
15,30,into
15,31,were
15,32,hamburger
15,33,give
15,34,bucket
16,1,egg
16,2,quiet
16,3,bicycle
16,4,do
16,5,park (place)
16,6,banana
16,7,puzzle
16,8,gloves
16,9,snack
16,10,home
16,11,coat
16,12,heavy
16,13,tired
16,14,toothbrush
16,15,food
16,16,stone
16,17,closet
16,18,which
16,19,soda/pop
16,20,pencil
16,21,door
16,22,tractor
16,23,telephone
16,24,can (object)
16,25,shirt
16,26,off
16,27,tuna
16,28,couch
16,29,sing
16,30,wish
16,31,bye
17,1,baby
17,2,country
17,3,chalk
17,4,jacket
17,5,green
17,6,head
17,7,cloud
17,8,wet
17,9,here
17,10,slipper
17,11,clean (description)
17,12,hi
17,13,turtle
17,14,but
17,15,zebra
17,16,peekaboo
17,17,shoe
17,18,teacher
17,19,awake
17,20,play dough
17,21,flower
17,22,see
17,23,these
17,24,mine
17,25,pony
17,26,can (helping verb)
17,27,nail (household item)
17,28,above
17,29,hers
17,30,boots
17,31,dry (description)
17,32,sofa
17,33,lawn mower
17,34,feed (verb)
17,35,bee
18,1,melon
18,2,cold
18,3,lick
18,4,shorts
18,5,bread
18,6,shake
18,7,by
18,8,cowboy
18,9,wipe (verb)
18,10,did/did ya
18,11,build
18,12,mittens
18,13,goose
18,14,down
18,15,make
18,16,hose
18,17,tonight
18,18,toe
18,19,money
18,20,carry
18,21,like
18,22,day
18,23,morning
18,24,cover
18,25,keys
18,26,pancake
18,27,think
18,28,no
18,29,there
18,30,sit
18,31,windy
18,32,vanilla
18,33,then
19,1,does
19,2,noisy
19,3,bat (toy)
19,4,brown
19,5,dog
19,6,would
19,7,black
19,8,it
19,9,vacuum
19,10,clown
19,11,hot
19,12,sidewalk
19,13,slide (verb)
19,14,soft
19,15,circus
19,16,tear (verb)
19,17,alligator
19,18,better
19,19,bubbles
19,20,salt
19,21,water (beverage)
19,22,candy
19,23,share
19,24,under
19,25,ride
19,26,applesauce
19,27,tree
19,28,cockadoodledoo
19,29,careful
19,30,bring
19,31,work (place)
19,32,sheep
19,33,plate
19,34,daddy
20,1,too
20,2,chicken (animal)
20,3,camera
20,4,thank you
20,5,grrr
20,6,sweep
20,7,bib
20,8,lady
20,9,ice
20,10,asleep
20,11,wash (verb)
20,12,sad
20,13,bowl (noun)
20,14,around
20,15,bunny
20,16,coffee
20,17,basement
20,18,belly button
20,19,eye
20,20,story (thing)
20,21,lamb
20,22,hat
20,23,ice cream
20,24,nice
20,25,drive (verb)
20,26,picture
20,27,house
20,28,gonna/going to
20,29,bottle
20,30,roof
20,31,truck
20,32,all gone
20,33,foot
21,1,buy
21,2,medicine
21,3,new
